niche,env_var,season,mu_beta_mean,mu_beta_std,mu_beta_q025,mu_beta_q975,mu_alpha_mean,mu_alpha_std,mu_alpha_q025,mu_alpha_q975,beta_lat_mean,beta_lat_std,beta_lat_q025,beta_lat_q975
all,mean_NDVI,spring,0.5678709742743734,0.011537276133535898,0.5450782625877785,0.5903593531077828,0.7401439650031616,0.13744819764533664,0.4706858486545393,1.0115477847825256,-0.0015492642038832446,0.0006856376605345894,-0.002889205912616924,-0.0001976054086467559
all,delta_NDVI,spring,0.5982352072220647,0.01102096800103005,0.5765151596501383,0.6197114247248611,0.7180091515569178,0.13476773950687249,0.453490747521088,0.9769463962718715,-0.002958901781719698,0.000652683394657002,-0.004231320010530235,-0.0016832273371743603
all,tmax,spring,0.8867999008910982,0.011999457356678418,0.8635884353923756,0.9109014975189068,1.5517724089121088,0.1275088049440979,1.3050595685804645,1.8021084334758355,-0.004582920054304078,0.000652414992196715,-0.005902628873495678,-0.003305636783611045
all,tmean,spring,0.8772906641487506,0.01189175245570352,0.8538201079397013,0.90052277458594,1.4557695809146771,0.12458333874968312,1.210183390375541,1.6992741864231256,-0.004251471568982119,0.000659522334212545,-0.005521941265153375,-0.002916678499515617
all,tmin,spring,0.8845821238347737,0.011048227377895577,0.8627591702006691,0.9061488960821249,1.31469531437011,0.1235255834298496,1.0772520414434381,1.5592836270305104,-0.0037593434652312386,0.0005795488695378458,-0.004875192424618556,-0.0026316804576416624
Trophic_Niche_Aquatic_predator,mean_NDVI,spring,0.4446772927470238,0.013263182391631885,0.4186736622599252,0.4704004473972771,0.4654337272159326,0.13901302663540063,0.1952906488212515,0.7373127350737644,-0.004930062127689864,0.0007488398866177501,-0.006403383771761462,-0.0034685011793901713
Trophic_Niche_Aquatic_predator,delta_NDVI,spring,0.48842227095410556,0.013465009642529271,0.46207515193500687,0.5150213727911801,0.5280343921947656,0.13247680965580236,0.26996628021505525,0.7854318259016309,-0.004739578924861249,0.0008285072125841467,-0.006361141532949886,-0.003148300778230558
Trophic_Niche_Aquatic_predator,tmax,spring,0.6686033958036773,0.015424387326576552,0.6390335459088456,0.6990091284063049,0.8549007059581272,0.1315142882974394,0.5957166697524287,1.1086334062067993,-0.008126603773991842,0.0008165923393470508,-0.009718997772372562,-0.006521419552275225
Trophic_Niche_Aquatic_predator,tmean,spring,0.6521684982885347,0.015334194833333092,0.622034689117232,0.6823098234394132,0.9183729258621154,0.13708082134979005,0.6470496766816908,1.1836030908554622,-0.007237632022411428,0.0008283249569426681,-0.00886263442803579,-0.005621038240047559
Trophic_Niche_Aquatic_predator,tmin,spring,0.6820069375855536,0.014783281234360322,0.6528282865699682,0.7111439298813854,0.915926145034267,0.13334794284736287,0.6536570364801165,1.1754409292149464,-0.00711800123241966,0.0007702204750130331,-0.008628081050050574,-0.005610178645070226
Trophic_Niche_Frugivore,mean_NDVI,spring,0.6627316429919526,0.014385383780835405,0.6343991470579811,0.6905059991316201,-0.5736949073641201,0.2080361667275979,-0.9845032472326265,-0.15821014458151497,-0.0008490207310647802,0.0008244337963773748,-0.002446776239630201,0.0007978890298358255
Trophic_Niche_Frugivore,delta_NDVI,spring,0.6859546047387215,0.012129162158247017,0.6621522468543743,0.7100096102326003,0.024351931105842026,0.19368561935702003,-0.3558624152660116,0.39972223648735195,-0.002023971950663226,0.0006703402675900959,-0.003345604537703532,-0.0007079855257934049
Trophic_Niche_Frugivore,tmax,spring,0.915050150289253,0.014736203449579781,0.8863749325265857,0.9438756815200501,0.2910728105117828,0.20100255452872562,-0.1016677086383611,0.6885983117444285,-0.0037682529084180354,0.0007409546261915415,-0.005232082530829134,-0.002339243492970513
Trophic_Niche_Frugivore,tmean,spring,0.9055087785547744,0.014761039287611894,0.8766300002584394,0.9341431724852344,0.45986678448508267,0.2054744628683755,0.05448763561818627,0.8576114151957387,-0.0033212654241175396,0.0007553126930277615,-0.00478251551913336,-0.0018577212458368714
Trophic_Niche_Frugivore,tmin,spring,0.9217298254903032,0.01348101298676451,0.8948888458926246,0.947986726478033,0.803390409214616,0.2030626895994368,0.40228810513503166,1.2060812325678134,-0.002581126236333113,0.0006735578352995703,-0.003911605799266744,-0.0012698472913838974
Trophic_Niche_Granivore,mean_NDVI,spring,0.5864214304543969,0.013035147623167268,0.5607968696669277,0.6116642731480936,-0.43419549470024593,0.18718722001983634,-0.7979159476782303,-0.06295401115084434,-0.003190701775379819,0.0007904796257292233,-0.004732978062835537,-0.0016399745979104239
Trophic_Niche_Granivore,delta_NDVI,spring,0.6222084801541042,0.01235610639183588,0.5978522526237717,0.6462342289435383,-0.3129682124142779,0.17380199822891138,-0.6571627421727869,0.023673835754099485,-0.003902468204715297,0.0007037720391230771,-0.005275590526880002,-0.0025229603456097707
Trophic_Niche_Granivore,tmax,spring,0.8552489127821413,0.01474978989146583,0.8263389851867632,0.8836203142560118,0.5154925666118618,0.17862365071628705,0.16760419942992957,0.8662211947172411,-0.006002466035067704,0.000745114032474561,-0.007475187453468933,-0.00454919771978275
Trophic_Niche_Granivore,tmean,spring,0.8481464988340798,0.01493549894072383,0.8186402499429193,0.8767822432677351,0.5297182185000018,0.1799041989502199,0.17520620801473394,0.8757133745312585,-0.005386846067079383,0.0007726925275336829,-0.006866552681393109,-0.00385411750983405
Trophic_Niche_Granivore,tmin,spring,0.8754866389876025,0.013825710927085143,0.8481808353407068,0.9022120364807386,0.8328803123739016,0.17453698236087634,0.492578579265451,1.1695951472577195,-0.0048074940160911074,0.0006907251256085461,-0.006145634944093537,-0.003455425602800699
Trophic_Niche_Herbivore_aquatic,mean_NDVI,spring,0.5247985864970048,0.014120933372552415,0.4969828607309594,0.5524505251136214,0.36633043241025615,0.13479745062696927,0.0998665896333064,0.6323547160445413,-0.0032661840517271635,0.0008392852242739946,-0.00491172421147753,-0.0016346895732235736
Trophic_Niche_Herbivore_aquatic,delta_NDVI,spring,0.5602471232377086,0.012752832431749949,0.5355141355177474,0.5855114207350351,0.6324123453627469,0.13315950262796786,0.37244397568780474,0.8905219287133935,-0.0026024776911627457,0.0007452715821615838,-0.0040271510237882965,-0.001140120581368649
Trophic_Niche_Herbivore_aquatic,tmax,spring,0.7551013419254239,0.015019497440846664,0.7259256761965142,0.7845726229982765,0.9610356075988458,0.13518710524170366,0.693810022061158,1.2323143380530708,-0.005313667806135684,0.0007881806328273368,-0.006878889497505803,-0.003778135429635806
Trophic_Niche_Herbivore_aquatic,tmean,spring,0.7435516633555883,0.014905376660072672,0.7145840462527661,0.7726120492589977,0.917778340452267,0.13396042407340925,0.6545490735809458,1.17787427553403,-0.004701382451181798,0.0007742998466324794,-0.006230379049658073,-0.003214266432492108
Trophic_Niche_Herbivore_aquatic,tmin,spring,0.7628043951764267,0.014537700380320744,0.7341050076135618,0.7905541100769093,0.9200693810019547,0.1373168879363067,0.6516065798408045,1.1889619863064653,-0.004390110854949307,0.000746407500923313,-0.005868136306378101,-0.0029025498271023154
Trophic_Niche_Herbivore_terrestrial,mean_NDVI,spring,0.5124186140677774,0.012768096332000572,0.487240258679475,0.5373891760398809,0.26176969913278275,0.13869056275638736,-0.010356515076522417,0.5292849554554039,-0.0017819021492647262,0.0007201295405493804,-0.003230991870095943,-0.0003819654880126273
Trophic_Niche_Herbivore_terrestrial,delta_NDVI,spring,0.5661944114851944,0.012600750099517567,0.5402749387418848,0.5909340492402171,0.48047268082332695,0.1369241664120411,0.218394167661942,0.7486274536572894,-0.002568071244356129,0.0006883797996807639,-0.003905628946673976,-0.0012057412814534586
Trophic_Niche_Herbivore_terrestrial,tmax,spring,0.754392769670229,0.013846281695064468,0.7269640852478514,0.7816129838044578,0.7473109899433181,0.1352142377163832,0.48886237135346045,1.011653175068258,-0.00503996314988043,0.0006934477884993399,-0.006404626236035772,-0.003690816717532217
Trophic_Niche_Herbivore_terrestrial,tmean,spring,0.751077834835984,0.01427247786520657,0.7235739690169647,0.7794014490848766,0.7915578126589258,0.13792306467674334,0.5238446676819652,1.0627274111499825,-0.004365442549248272,0.0006939638246807987,-0.005736232175549482,-0.002992881825961295
Trophic_Niche_Herbivore_terrestrial,tmin,spring,0.7803409888926824,0.014007702202430559,0.7528527900431797,0.8078554137251127,0.748634405207187,0.13421079883920164,0.4867010238747394,1.0123923993967452,-0.004517928922842165,0.0006538869704935681,-0.005800652008067609,-0.0032365641193092634
Trophic_Niche_Invertivore,mean_NDVI,spring,0.47409645850514937,0.013210524834524642,0.4482605284249657,0.49991549201593494,0.9343223732389869,0.11585529280957371,0.7089089795896001,1.1620238995528016,-0.0038653291235177883,0.0008212531882750541,-0.005443746856674851,-0.002239949019008953
Trophic_Niche_Invertivore,delta_NDVI,spring,0.5140550876825425,0.011842003438621006,0.4909126242239395,0.5370557532275855,0.8139284309348847,0.11333996638027422,0.5964576689250529,1.0374078661182686,-0.004750940767451573,0.0007519773748395425,-0.006244925659036105,-0.003275352842417151
Trophic_Niche_Invertivore,tmax,spring,0.7409490710327227,0.014695156414955743,0.7121428710073185,0.7689737026143576,1.4946790855172731,0.11083683979343267,1.2745632826734472,1.7130442076124213,-0.007777273094498332,0.0008924729420803317,-0.009513786043010484,-0.006046697867799406
Trophic_Niche_Invertivore,tmean,spring,0.7216884381855252,0.014548736879930297,0.6932579244542819,0.7502893033641105,1.48282407748588,0.1088574344338932,1.271135041854259,1.6986963349627098,-0.007810186330819657,0.0008732898726646157,-0.009520443437549963,-0.006097914736053034
Trophic_Niche_Invertivore,tmin,spring,0.7355828167127282,0.014211141481526643,0.7083101877634668,0.763358127725199,1.4349890643764363,0.10842559129756113,1.2220623040147849,1.6473195110852403,-0.007829070285533006,0.0008212795957621741,-0.009386864007106229,-0.006225407959712741
Trophic_Niche_Nectarivore,mean_NDVI,spring,0.5966659852342727,0.015084904639093205,0.5670924690203398,0.6268890341221284,0.12057308094984721,0.16959047698042365,-0.2126054003264441,0.45513901692134545,0.0008609495615508391,0.000916804792829249,-0.0009313986020533585,0.002677869049055459
Trophic_Niche_Nectarivore,delta_NDVI,spring,0.6134634588349109,0.013237469669423697,0.587136432814927,0.6391002209448187,0.6068599030863511,0.16760376393695484,0.27737047283721855,0.9298730048830418,0.0002345920825474726,0.0007995877187003046,-0.0012935935865254064,0.001841964932676411
Trophic_Niche_Nectarivore,tmax,spring,0.8258744622447494,0.016003384067288025,0.7942478169171964,0.8570732903063061,0.621030006942923,0.1681677538714967,0.29265755443587227,0.9553970698772278,-0.0031298326438183046,0.0008697782175460065,-0.004805911281926183,-0.0014151381440858715
Trophic_Niche_Nectarivore,tmean,spring,0.8062284374546866,0.016943582702603068,0.7720828714946413,0.8393461917055359,0.6841536117616792,0.16385017582902522,0.35864376328614145,0.9989349532911379,-0.0024900621693581806,0.0009288659006180911,-0.004353842678806598,-0.000699368067359122
Trophic_Niche_Nectarivore,tmin,spring,0.8255145894207506,0.015511481261780643,0.7950220448779258,0.8558404501588797,0.7855355049371555,0.16481569605018184,0.4614689839147156,1.1030946229849141,-0.0020841387407701906,0.0008037434350100149,-0.0036490583947393035,-0.0005352276518139549
Trophic_Niche_Omnivore,mean_NDVI,spring,0.535773589588115,0.01193895673138339,0.5121244964997441,0.5591231594781053,-0.1891108487360175,0.14904223458027013,-0.475202030479328,0.0979274423739672,-0.002758595892092888,0.0007068070908235302,-0.0041373808581677786,-0.0013864163049595382
Trophic_Niche_Omnivore,delta_NDVI,spring,0.5844634811544703,0.011575298920779055,0.5615554606202159,0.6073735543590696,-0.07767288016255952,0.15161105954796023,-0.3775208754056659,0.22032983678524773,-0.0027433769591588665,0.0006854681847929374,-0.00407209431278069,-0.0013947469521997545
Trophic_Niche_Omnivore,tmax,spring,0.8474388274401465,0.013625662173163236,0.8207832154529895,0.8739660392067945,1.0953841883453652,0.14568338806946882,0.810004860713369,1.3804717326704719,-0.004920279513949171,0.0007460835317895869,-0.006406631769423881,-0.003467977366741944
Trophic_Niche_Omnivore,tmean,spring,0.837057813532816,0.013425061003607616,0.810742278181583,0.86313521971556,1.1280421307791946,0.14822174510879993,0.8434222334185397,1.424614749914465,-0.004367678053616762,0.0007190040188594209,-0.005774130208513596,-0.0029339797228676886
Trophic_Niche_Omnivore,tmin,spring,0.8590079628449039,0.01274145322947805,0.8342654039653993,0.8834624328365804,1.21938542789233,0.14372400285482545,0.9363639486320552,1.5021989842870525,-0.0040082010091336585,0.0006411092449839517,-0.005252297174309086,-0.0027649586377233434
Trophic_Niche_Scavenger,mean_NDVI,spring,0.5352865957180027,0.014812555343671917,0.5064600779490687,0.5642468050403838,-0.8176930169687935,0.18224859308998853,-1.1731479720085167,-0.45877114283584963,0.0008609573248688507,0.0008693160016625155,-0.0008339010547246911,0.002565844611578825
Trophic_Niche_Scavenger,delta_NDVI,spring,0.5827206439089042,0.013397092376564149,0.5561255623965946,0.6089499961772056,-0.36733606600172275,0.16837662307815998,-0.6962368130777399,-0.03747619557658354,-0.0008530466772922453,0.0007636876232969369,-0.002338306345866224,0.0006031833706625425
Trophic_Niche_Scavenger,tmax,spring,0.7722583170283865,0.016748266407234542,0.7392322552127841,0.8046660315702043,-0.05280462964908103,0.17137159243263184,-0.38499026867127994,0.28191053912502356,-0.004344317253591076,0.0008762921242493039,-0.006063879235068296,-0.002626897562358654
Trophic_Niche_Scavenger,tmean,spring,0.764557078860593,0.016975914985442857,0.731203393131981,0.7976867960499504,-0.02301831905403356,0.17276807642500827,-0.3659358070399066,0.31480712762223734,-0.0037972941868498734,0.000873504268157028,-0.0055027805781277415,-0.0020988006568690674
Trophic_Niche_Scavenger,tmin,spring,0.7864709798281349,0.01585484013097784,0.7548338552085846,0.8168423218805412,0.13615675313423362,0.17494397348092078,-0.206927387744417,0.47583490922000465,-0.003289789716133274,0.0008081579197397762,-0.004831364728318878,-0.0016589460079439126
Trophic_Niche_Vertivore,mean_NDVI,spring,0.5136827399259106,0.012925775916120423,0.48786343256870074,0.5385807240615332,-0.17143445567651594,0.15686346568872592,-0.47802044928055387,0.13326475735011023,-0.000942334115176772,0.0007544803215733621,-0.0024185657126367956,0.0005264815645725151
Trophic_Niche_Vertivore,delta_NDVI,spring,0.5956022154278241,0.012722086404809286,0.5706585128128528,0.6203449278090254,-0.13819653168868903,0.14598254884129372,-0.4278272595928389,0.14385243361131983,-0.001448236770242352,0.0007220068450614403,-0.002861277314338654,-2.2497903874666816e-05
Trophic_Niche_Vertivore,tmax,spring,0.7904189782508005,0.014040334588335169,0.7633746232099812,0.8177109352891433,0.8937649142764209,0.1454420054903381,0.6081021885012156,1.178763606824088,-0.004194177671111041,0.0007317826866287446,-0.005640737260113386,-0.0027449784282742957
Trophic_Niche_Vertivore,tmean,spring,0.7891845000477649,0.014450692907165413,0.7601912649611007,0.817066896681097,0.844202307570898,0.14702644469625958,0.5565193742414255,1.1296660549456314,-0.003917398136726942,0.0007526445794397814,-0.005387429275573196,-0.0024257069413895923
Trophic_Niche_Vertivore,tmin,spring,0.8150334394923981,0.013744411208055345,0.7880718061468575,0.8414940562786271,0.8902475395017612,0.14581308015031696,0.6017908487179672,1.1716255315763826,-0.0037518998307427545,0.000694132695973567,-0.005096710510139811,-0.0023872315551392896
Trophic_Level_Carnivore,mean_NDVI,spring,0.4149832169685437,0.0128645792914676,0.38888564045043655,0.4397006247623665,0.697743827590135,0.10721637474923607,0.48903397921627223,0.9066806484911561,-0.005857534080220454,0.0007484262710926,-0.007281669895564849,-0.004391386708647121
Trophic_Level_Carnivore,delta_NDVI,spring,0.46859729890244906,0.011687410177999272,0.4455944004387579,0.4917254706807167,0.7197691141684279,0.10392192823338102,0.5127896354253695,0.9245581083027383,-0.0067704003018124615,0.0007285101037517966,-0.008218279597929326,-0.005325759562866976
Trophic_Level_Carnivore,tmax,spring,0.6843688872630747,0.014297044724441653,0.6569081842988447,0.7127312914548092,1.153810238710495,0.09643058236813147,0.9655665094542445,1.3406448890721545,-0.0103463960667225,0.0008186834875672432,-0.011975345779462274,-0.00875128064878736
Trophic_Level_Carnivore,tmean,spring,0.6674323375539013,0.014548067354709026,0.6387915615499916,0.6956493881598569,1.1138726827832097,0.09843801980541939,0.9232468882198333,1.3083581393062498,-0.010022413891608729,0.0008333059302808235,-0.011657284766308874,-0.0083855547098384
Trophic_Level_Carnivore,tmin,spring,0.6941084787229493,0.014066676136851839,0.6664706899095518,0.7222486180942933,1.102379017213072,0.09937886324045403,0.9033399631793778,1.299199527798303,-0.010085556639508077,0.0008060046017269262,-0.01164692797037611,-0.00852297526459457
Trophic_Level_Herbivore,mean_NDVI,spring,0.5530411371695881,0.011245224599006138,0.5309500707409788,0.5749714521999075,0.3074896225860084,0.1416889014866453,0.027094615618818232,0.5852310397372417,-0.006790094855037517,0.0006630239537036976,-0.008085063365623037,-0.005485191958078163
Trophic_Level_Herbivore,delta_NDVI,spring,0.5976783378976416,0.01121718689485471,0.575511578038396,0.6195711800143902,0.27548320426398526,0.14082363810586335,0.0002763007086891928,0.5508594352977632,-0.006126947918202271,0.0006443391764354619,-0.00739836710592173,-0.004869844838367621
Trophic_Level_Herbivore,tmax,spring,0.8333328266105137,0.012823234439925323,0.8081820210584649,0.8580510539852574,0.9883494444541443,0.13541410038205148,0.7281757055871395,1.2518682102459138,-0.009490175792405018,0.000673625506098603,-0.010808675571735853,-0.00815496031126338
Trophic_Level_Herbivore,tmean,spring,0.8364166806425355,0.012663486856051422,0.8117901588057721,0.8610515201868356,1.0164380897686438,0.13463544128880184,0.7504115676793341,1.2767475390191643,-0.00907009633288987,0.0006646970423035116,-0.010394472743321857,-0.007759909098927578
Trophic_Level_Herbivore,tmin,spring,0.8452275799045406,0.01184630961456263,0.8217457896749251,0.8682781930601752,0.9881717794466024,0.1316243354773201,0.7347465112037684,1.2455102446792992,-0.008276365869711066,0.0006023225428197145,-0.009469052692250355,-0.007109881117838494
Trophic_Level_Omnivore,mean_NDVI,spring,0.5146566667207322,0.01126943851634395,0.49246432967729437,0.5365073647409013,-0.1513973481917644,0.15322813301582522,-0.45398023389846137,0.15256139176180425,-0.000742344289974288,0.0006384643436588049,-0.0019887108077686674,0.0005242615201323061
Trophic_Level_Omnivore,delta_NDVI,spring,0.5754560744955595,0.011435245063256157,0.5527011262900601,0.5974846597643365,0.30668979321076584,0.149698575258561,0.008089184662320916,0.5985098738683234,-0.0005041386577014799,0.0006506355672574577,-0.0017671953815917537,0.0007500790125620931
Trophic_Level_Omnivore,tmax,spring,0.8203610532569743,0.012653820348891946,0.7953657668528915,0.8452250686647063,1.1058121949789215,0.1415267736213928,0.8253082297997977,1.374129885875157,-0.0035759246087546776,0.0006398343246090614,-0.004825962697065716,-0.002332455632830162
Trophic_Level_Omnivore,tmean,spring,0.8121116050010173,0.012279698078439885,0.7876351007205793,0.8356635996408709,0.9412368648891036,0.1408638880120186,0.6666895461465993,1.2158182204963712,-0.003014685300262903,0.0006188964712419485,-0.004213743764520781,-0.0017454917350118353
Trophic_Level_Omnivore,tmin,spring,0.8266737855737165,0.011516220766961063,0.8040328156619184,0.8493711832210827,0.9770806674854626,0.13819949269197834,0.7068712045900925,1.245559386668684,-0.0022087503167708762,0.0005510894947837525,-0.003288651947119084,-0.0011371191718884698
Trophic_Level_Scavenger,mean_NDVI,spring,0.5672594652532716,0.014077998847397508,0.5394727649564718,0.5948208346468111,-0.6937656742984425,0.17830249000660403,-1.04716043076192,-0.34759277926965626,0.0008946768718227494,0.0008307931699620052,-0.0007291856184503286,0.0025477400776024606
Trophic_Level_Scavenger,delta_NDVI,spring,0.6091133074983407,0.013700149852322275,0.5821747079976276,0.6361845432117247,-0.3672984655366847,0.17587084293443409,-0.7166063131017767,-0.031144187954871186,-0.0005879821445387277,0.0008017506918436082,-0.0021795449236106266,0.0009911591735034199
Trophic_Level_Scavenger,tmax,spring,0.7979990878011358,0.01626143312489932,0.7654869831032232,0.8288604170369839,0.11948611015930577,0.17298476015013517,-0.21393231743034385,0.45796026597430256,-0.0026213734621741325,0.0008654050067013532,-0.004315660929528859,-0.0009619729745689703
Trophic_Level_Scavenger,tmean,spring,0.7916827652496743,0.016225663409414573,0.7598673640499845,0.8230009556305541,0.18081833948178533,0.17454253403057865,-0.16096631422684116,0.5162456060153234,-0.002094529493555885,0.0008644341143406435,-0.0037585409119319613,-0.00038768581839835096
Trophic_Level_Scavenger,tmin,spring,0.8120239499025466,0.015229938225681887,0.7821612211967439,0.842519303971384,0.2721336026631181,0.17569263867820417,-0.0689435715575368,0.6156540299313709,-0.0016933814102722247,0.0007840506731891493,-0.003221705225120744,-0.00012653574380402854
